Date,Investigator,CH,[Tubulin] $(\mu M)$,[DCX] $(\mu M)$,Length $(\mu m)$,Lifetime $(min)$,Growth Rate $(\mu m / min)$,Time to Nucleate $(min)$,Shrink Length $(\mu m)$,Shrink Lifetime $(min)$,Shrink Rate $(\mu m / min)$,Rescues,DCX Type
2020-03-09,Sofia,21,6.0,0.0,5.064,9.376666666666667,0.5400639886242445,10.278888827910027,5.064,0.29,17.462068965517243,False,None
2020-03-09,Sofia,21,6.0,0.0,3.1017,5.51,0.5629219600725952,33.188888827910034,3.0384,0.29,10.477241379310342,False,None
2020-03-09,Sofia,21,6.0,0.0,1.0128,2.1266666666666665,0.4762382445141066,29.51555549457669,1.0128,0.09666666666666666,10.477241379310342,False,None
2020-03-09,Sofia,21,6.0,0.0,2.7219,6.573333333333332,0.4140821501014199,12.50222216124336,2.7219,0.09666666666666666,28.157586206896553,False,None
2020-03-09,Sofia,21,6.0,0.0,0.3165,0.58,0.5456896551724139,1.288888827910026,0.3798,,,False,None
2020-03-09,Sofia,21,6.0,0.0,1.9623,3.19,0.615141065830721,25.455555494576693,1.9623,0.38666666666666666,5.074913793103448,False,None
2020-03-09,Sofia,21,6.0,0.0,1.8357,3.5766666666666667,0.5132432432432432,1.0955554945766923,1.8357,0.09666666666666666,18.99,False,None
2020-03-09,Sofia,21,6.0,0.0,3.4182,6.38,0.5357680250783698,4.478888827910025,3.5447999999999995,0.19333333333333333,18.335172413793106,False,None
2020-03-09,Sofia,21,6.0,0.0,1.0760999999999998,2.2233333333333336,0.4840029985007495,24.005555494576694,1.1394,0.19333333333333333,5.8934482758620685,False,None
2020-03-09,Sofia,21,6.0,0.0,0.4431,1.0633333333333332,0.4167084639498432,10.568888827910024,0.3798,0.09666666666666666,3.928965517241379,False,None
2020-03-09,Sofia,21,6.0,0.0,3.4815,6.38,0.5456896551724137,22.168888827910028,3.3549,0.19333333333333333,17.352931034482758,False,None
2020-03-09,Sofia,21,6.0,0.0,5.633699999999998,11.6,0.4856637931034482,28.742222161243358,5.633699999999998,0.19333333333333333,29.139827586206888,False,None
2020-03-09,Sofia,21,6.0,0.0,1.2027,2.513333333333333,0.4785278514588859,9.698888827910023,1.2027,0.09666666666666666,12.441724137931034,False,None
2020-03-09,Sofia,21,6.0,0.0,5.7603,10.826666666666664,0.5320474137931035,18.59222216124336,6.0135,0.19333333333333333,31.104310344827585,False,None
2020-03-09,Sofia,21,6.0,0.0,2.2155,4.736666666666666,0.4677339901477833,12.405555494576692,2.2155,0.19333333333333333,11.45948275862069,False,None
2020-03-09,Sofia,21,6.0,0.0,4.0512,6.7666666666666675,0.5986995073891626,0.9022221612433592,4.1778,0.09666666666666666,43.21862068965517,False,None
2020-03-09,Sofia,21,6.0,0.0,11.2674,21.266666666666666,0.5298150470219435,2.6422221612433594,11.330699999999998,0.4833333333333333,23.44282758620689,False,None
2020-03-09,Sofia,21,6.0,0.0,1.9623,2.9,0.6766551724137931,3.8988888279100262,2.0889,0.09666666666666666,21.609310344827584,False,None
2020-03-09,Sofia,21,6.0,0.0,6.1401,11.503333333333332,0.5337670240509997,16.658888827910026,6.5832,0.19333333333333333,34.051034482758624,True,None
2020-03-09,Sofia,21,6.0,0.0,5.2539,9.183333333333334,0.5721125226860254,4.478888827910025,5.5703999999999985,0.38666666666666666,14.406206896551723,False,None
2020-03-09,Sofia,21,6.0,0.0,0.8861999999999999,1.5466666666666666,0.5729741379310345,16.75555549457669,0.8861999999999999,0.09666666666666666,9.167586206896553,False,None
2020-03-09,Sofia,21,6.0,0.0,8.229,16.433333333333334,0.5007505070993914,21.298888827910027,8.608799999999999,0.58,14.842758620689654,True,None
2020-03-11,Sofia,12,5.0,100.0,8.418899999999999,10.789333333333332,0.7802984429065742,0.38533333333333336,3.1017,2.6010000000000004,1.1925028835063436,True,WT
2020-03-11,Sofia,12,5.0,100.0,12.4701,19.652,0.6345461021778953,0.8670000000000001,2.0256,1.5413333333333334,1.3141868512110724,True,WT
2020-03-11,Sofia,12,5.0,100.0,12.027000000000001,19.652,0.6119987787502543,0.19266666666666668,6.0768,2.6973333333333334,2.252891744933267,True,WT
2020-03-11,Sofia,12,5.0,100.0,5.5703999999999985,9.922333333333334,0.5614002082843416,0.09633333333333334,2.7852,0.7706666666666667,3.6140138408304487,True,WT
2020-03-11,Sofia,12,5.0,100.0,6.0768,12.716,0.4778861277131173,1.156,4.367699999999999,2.408333333333333,1.8135778546712802,True,WT
2020-03-11,Sofia,12,5.0,100.0,1.1394,1.445,0.7885121107266435,0.4816666666666667,0.6962999999999999,0.6743333333333333,1.0325753830944142,True,WT
2020-03-11,Sofia,12,5.0,100.0,2.2788,5.4910000000000005,0.4150063740666545,2.119333333333333,1.266,0.4816666666666667,2.628373702422145,True,WT
2020-03-11,Sofia,12,5.0,100.0,5.8236,9.633333333333333,0.6045259515570934,0.09633333333333334,2.532,1.156,2.190311418685121,True,WT
2020-03-11,Sofia,12,5.0,100.0,2.4687,4.624,0.5338884083044982,0.09633333333333334,0.8229,0.38533333333333336,2.135553633217993,True,WT
2020-03-11,Sofia,12,5.0,100.0,10.128,14.642666666666667,0.6916772901110909,1.0596666666666668,3.798,1.348666666666667,2.816114681166584,True,WT
2020-03-11,Sofia,12,5.0,100.0,4.4943,7.995666666666668,0.5620919664818443,0.289,1.899,1.2523333333333333,1.5163694437050836,True,WT
2020-03-11,Sofia,12,5.0,100.0,4.8108,8.381,0.5740126476554109,0.09633333333333334,1.9623,0.6743333333333333,2.909985170538804,True,WT
2020-03-11,Sofia,12,5.0,100.0,9.8115,17.821666666666665,0.5505377349668007,0.09633333333333334,6.8363999999999985,4.142333333333334,1.6503741852418117,True,WT
2020-03-11,Sofia,12,5.0,100.0,6.1401,14.642666666666667,0.4193293571298488,0.7706666666666667,4.0512,1.156,3.5044982698961937,True,WT
